,Unnamed: 0.1,Unnamed: 0,Subject,Session,Block,CorrectResponse,event,finalRT,firstACC,firstRESP,measured_RT,TrialType,PCode,TripC,TT,epoch,choice,spatial_distance,direction_right,tworep,t_0,repetition,error,posterror,high_triplet,trigram,event_t0,event_t-1,event_t-2,error_type,pattern error,correct response repetition,incorrect response repetition,other error,recency error,distance_from_last_unigram,distance_from_last_trigram,event_bigram,event_trigram,choice_t-1,choice_t-2,choice_bigram,choice_trigram,e_to_e_distance_from_last_unigram,e_to_e_distance_from_last_bigram,e_to_e_distance_from_last_trigram,e_to_c_distance_from_last_unigram,e_to_c_distance_from_last_bigram,e_to_c_distance_from_last_trigram,c_to_e_distance_from_last_unigram,c_to_e_distance_from_last_bigram,c_to_e_distance_from_last_trigram,c_to_c_distance_from_last_unigram,c_to_c_distance_from_last_bigram,c_to_c_distance_from_last_trigram,high_triplet_choice,new_high_triplet_choice,HCRP_choice,HCRP_pred_prob,HCRP_pred_prob_1,HCRP_pred_prob_2,HCRP_pred_prob_3,HCRP_pred_prob_4,HCRP_context_importance_0,HCRP_context_importance_1,HCRP_context_importance_2,HCRP_context_importance_3,HCRP_seat_odds_0,HCRP_seat_odds_1,HCRP_seat_odds_2,HCRP_seat_odds_3,triplet_pred_prob,new_triplet_pred_prob,distance,HCRP,intercept_component,distance_component,repetition_component,error_component,posterror_component,HCRP_component,low-level + HCRP,triplet,low-level + triplet,new_triplet,low-level + new_triplet,train_mask,test_mask,trigram_choice,HCRP_error_type,trigram_error_type,choice pattern error,choice correct response repetition,choice incorrect response repetition,choice other error,HCRP_choice pattern error,HCRP_choice correct response repetition,HCRP_choice incorrect response repetition,HCRP_choice other error,trigram_choice pattern error
20,14895,14895,101,12,1,b,3,339,1,b,339,P,5,223,H,1,3,1,1,0,3.0,0,0,0,1,223.0,3.0,2.0,2.0,,,,,,,8.0,,23,223,2.0,2.0,23,223,8.0,9.0,,8.0,9.0,,8.0,9.0,,8.0,9.0,,1.0,,2.0,0.2295289636673582,0.2348432835663998,0.273860145658821,0.2295289636673582,0.2617676071074211,0.0001870671608357,0.0001892434469505,0.0,0.0,1.0,1.0,1.0,1.0,0.625,,291.11497206248214,302.05773900822004,209.1460929203135,19.13781411894987,0.0,-0.0,0.0,70.35982666414787,298.64373370341127,290.1899441340782,287.4209364212466,,,True,False,3.0,,,,,,,,,,,
21,14896,14896,101,12,1,z,1,294,1,z,294,R,5,231,L,1,1,2,0,0,1.0,0,0,0,0,231.0,1.0,3.0,2.0,,,,,,,4.0,,31,231,3.0,2.0,31,231,4.0,,,4.0,,,6.0,8.0,,6.0,8.0,,0.0,,2.0,0.2205091180812239,0.2205091180812239,0.2697592484104761,0.2694973462442795,0.2402342872640204,0.002095238390946,0.0003049472853239,0.0,0.0,1.0,1.0,1.0,1.0,0.125,,310.5551816958278,304.6114319088342,209.1460929203135,38.27562823789974,0.0,-0.0,0.0,72.27644561507854,319.69816677329175,305.7066666666667,327.46120085435984,,,True,False,3.0,,,,,,,,,,,
22,14897,14897,101,12,1,z,1,259,1,z,259,P,5,311,H,1,1,0,1,0,1.0,1,0,0,1,311.0,1.0,1.0,3.0,,,,,,,1.0,,11,311,1.0,3.0,11,311,1.0,16.0,,1.0,16.0,,1.0,7.0,8.0,1.0,7.0,8.0,1.0,,4.0,0.2448027044695161,0.2448027044695161,0.26044730882972,0.2298672564361062,0.2648827302646574,0.0007184998418424,0.0,0.0,0.0,1.0,1.0,1.0,1.0,0.625,,271.67476242913654,297.95405288678086,209.1460929203135,0.0,2.169061400303008,-0.0,0.0,67.2798938393631,278.5950481599796,290.1899441340782,267.5940624398454,,,True,False,1.0,,,,,,,,,,,
23,14898,14898,101,12,1,c,2,450,1,c,450,R,5,112,L,1,2,1,1,0,2.0,0,0,0,0,112.0,2.0,1.0,1.0,,,,,,,4.0,,12,112,1.0,1.0,12,112,4.0,5.0,,4.0,5.0,,4.0,20.0,,4.0,20.0,,0.0,,1.0,0.2487684420885978,0.2666556596172124,0.2487684420885978,0.2202051993599023,0.2643706989342875,0.0014896422648208,0.0001866905172584,0.0,0.0,1.0,1.0,1.0,1.0,0.125,,291.11497206248214,296.93042000335777,209.1460929203135,19.13781411894987,0.0,-0.0,0.0,66.51162832760454,294.7955353668679,305.7066666666667,308.6748561160543,,,True,False,4.0,,,,,,,,,,,
24,14899,14899,101,12,1,m,4,297,1,m,297,P,5,124,H,1,4,2,1,0,4.0,0,0,0,1,124.0,4.0,2.0,1.0,,,,,,,8.0,,24,124,2.0,1.0,24,124,8.0,20.0,,8.0,20.0,,8.0,20.0,20.0,8.0,20.0,20.0,1.0,,2.0,0.2311065476313833,0.2444962403331867,0.2818033618334538,0.2425938502019762,0.2311065476313833,0.0012118357265641,0.0003850115882895,0.0,0.0,1.0,1.0,1.0,1.0,0.625,,310.5551816958278,301.6214267297144,209.1460929203135,38.27562823789974,0.0,-0.0,0.0,70.0323619242386,317.4540830824518,290.1899441340782,306.2072811595521,,,True,False,4.0,,,,,,,,,,,
25,14900,14900,101,12,1,b,3,278,1,b,278,R,5,243,H,1,3,1,0,0,3.0,0,0,0,1,243.0,3.0,4.0,2.0,,,,,,,5.0,,43,243,4.0,2.0,43,243,5.0,,,5.0,,,5.0,,,5.0,,,1.0,,4.0,0.2146190762184707,0.2642869614363963,0.2506783382123538,0.2146190762184707,0.2704156241327792,0.0016886526692558,0.0001390243722544,0.0,0.0,1.0,1.0,1.0,1.0,0.625,,291.11497206248214,306.3360317989327,209.1460929203135,19.13781411894987,0.0,-0.0,0.0,73.57080674649752,301.85471378576085,290.1899441340782,287.4209364212466,,,True,False,3.0,,,,,,,,,,,
26,14901,14901,101,12,1,c,2,268,1,c,268,P,5,432,H,1,2,1,0,0,2.0,0,0,0,1,432.0,2.0,3.0,4.0,,,,,,,3.0,,32,432,3.0,4.0,32,432,3.0,13.0,,3.0,13.0,,3.0,,,3.0,,,1.0,,2.0,0.2619227778850869,0.2494565498886466,0.2619227778850869,0.2507761032220194,0.237844569004247,0.0005597385028276,0.0,0.0,0.0,1.0,1.0,1.0,1.0,0.625,,291.11497206248214,293.64820310717465,209.1460929203135,19.13781411894987,0.0,-0.0,0.0,64.04823145526474,292.33213849452807,290.1899441340782,287.4209364212466,,,True,False,2.0,,,,,,,,,,,
27,14902,14902,101,12,1,z,1,266,1,z,266,R,5,321,H,1,1,1,0,0,1.0,0,0,0,1,321.0,1.0,2.0,3.0,,,,,,,5.0,13.0,21,321,2.0,3.0,21,321,5.0,13.0,13.0,5.0,13.0,13.0,5.0,,,5.0,,,1.0,,2.0,0.2423460122041805,0.2423460122041805,0.2693001588905209,0.2411970663376862,0.2471567625676122,1.51870061831066e-05,0.0002498182006709,0.0,0.0,1.0,1.0,1.0,1.0,0.625,,291.11497206248214,298.59652391279184,209.1460929203135,19.13781411894987,0.0,-0.0,0.0,67.76208656644485,296.0459936057082,290.1899441340782,287.4209364212466,,,True,False,1.0,,,,,,,,,,,
28,14903,14903,101,12,1,b,3,288,1,b,288,P,5,213,H,1,3,2,1,0,3.0,0,0,0,1,213.0,3.0,1.0,2.0,,,,,,,3.0,,13,213,1.0,2.0,13,213,3.0,,,3.0,,,3.0,,,3.0,,,1.0,,4.0,0.2155401098541999,0.2512621016266507,0.2662531824074552,0.2155401098541999,0.2669446061116939,0.0021401208242048,0.0009389908854105,0.0002298996831364,0.0,1.0,1.0,1.0,1.0,0.625,,310.5551816958278,306.06325487848574,209.1460929203135,38.27562823789974,0.0,-0.0,0.0,73.36607993107688,320.7878010892901,290.1899441340782,306.2072811595521,,,True,False,3.0,,,,,,,,,,,
29,14904,14904,101,12,1,c,2,317,1,c,317,R,5,132,L,1,2,1,0,0,2.0,0,0,0,0,132.0,2.0,3.0,1.0,,,,,,,3.0,,32,132,3.0,1.0,32,132,3.0,3.0,,3.0,3.0,,3.0,3.0,,3.0,3.0,,0.0,,2.0,0.2770440438002389,0.2464743731287363,0.2770440438002389,0.2509107154356196,0.225570867635405,0.0011752388898896,0.0,0.0,0.0,1.0,1.0,1.0,1.0,0.125,,291.11497206248214,290.0729995148651,209.1460929203135,19.13781411894987,0.0,-0.0,0.0,61.36493975765778,289.64884679692113,305.7066666666667,308.6748561160543,,,True,False,4.0,,,,,,,,,,,
